transaction_id,amount,currency,timestamp,status,type,network,card_type,bin,last4,merchant_id,merchant_name,merchant_category_code,country,customer_id,email,phone,ip_address,risk_score,true_anomaly,anomaly_reason
TXN_100000,2042.95,INR,2026-07-03 00:10:59,Success,Payment,Mastercard,Credit,535396,4962,MID_5703,Merchant_0,4111,IN,CUST_1000,user_cust_1000@domain.com,+919876500579,192.168.1.0,33,0,Normal
TXN_100001,1249.17,INR,2026-07-03 00:19:22,Success,Payment,Mastercard,Debit,510192,4177,MID_3706,Merchant_1,5812,IN,CUST_1001,user_cust_1001@domain.com,+919876501254,192.168.1.1,33,0,Normal
TXN_100002,2298.8,INR,2026-07-03 00:24:49,Success,Payment,RuPay,Credit,636413,4722,MID_1001,Merchant_2,5311,IN,CUST_1002,user_cust_1002@domain.com,+919876502356,192.168.1.2,10,0,Normal
TXN_100003,4579.76,INR,2026-07-03 00:33:14,Success,Payment,RuPay,Debit,612816,5906,MID_9316,Merchant_3,5541,IN,CUST_1003,user_cust_1003@domain.com,+919876503334,192.168.1.3,18,0,Normal
TXN_100004,1160.62,INR,2026-07-03 00:40:01,Success,Payment,RuPay,Debit,639082,8263,MID_2104,Merchant_4,7011,IN,CUST_1004,user_cust_1004@domain.com,+919876504599,192.168.1.4,8,0,Normal
TXN_100005,1160.64,INR,2026-07-03 00:49:45,Success,Payment,VISA,Debit,465048,6054,MID_2861,Merchant_5,7011,IN,CUST_1005,user_cust_1005@domain.com,+919876505388,192.168.1.5,30,0,Normal
TXN_100006,4788.0,INR,2026-07-03 00:56:03,Success,Payment,RuPay,Debit,650940,1808,MID_6269,Merchant_6,5311,IN,CUST_1006,user_cust_1006@domain.com,+919876506609,192.168.1.6,19,0,Normal
TXN_100007,2524.88,INR,2026-07-03 01:03:44,Success,Payment,Mastercard,Credit,542130,1725,MID_7943,Merchant_7,5812,IN,CUST_1007,user_cust_1007@domain.com,+919876507651,192.168.1.7,20,0,Normal
TXN_100008,970.04,INR,2026-07-03 01:09:09,Success,Payment,RuPay,Prepaid,640142,8701,MID_9320,Merchant_8,5621,IN,CUST_1008,user_cust_1008@domain.com,+919876508899,192.168.1.8,11,0,Normal
TXN_100009,2117.4,INR,2026-07-03 01:16:36,Success,Payment,Mastercard,Debit,546468,2216,MID_1437,Merchant_9,5812,IN,CUST_1009,user_cust_1009@domain.com,+919876509808,192.168.1.9,21,0,Normal
TXN_100010,8500.0,INR,2026-07-03 04:10:41,Success,Payment,VISA,Credit,430698,5051,MID_5846,Merchant_10,5411,IN,CUST_9999,user_cust_1010@domain.com,+919876510884,192.168.1.10,23,1,Velocity Anomaly
TXN_100011,8500.0,INR,2026-07-03 04:10:44,Success,Payment,Mastercard,Debit,520655,3197,MID_4129,Merchant_11,5541,IN,CUST_9999,user_cust_1011@domain.com,+919876511993,192.168.1.11,33,1,Velocity Anomaly
TXN_100012,8500.0,INR,2026-07-03 04:10:47,Success,Payment,Mastercard,Credit,557897,3806,MID_9081,Merchant_12,5812,IN,CUST_9999,user_cust_1012@domain.com,+919876512875,192.168.1.12,23,1,Velocity Anomaly
TXN_100013,8500.0,INR,2026-07-03 04:10:50,Success,Payment,Mastercard,Credit,540075,9970,MID_1901,Merchant_13,4111,IN,CUST_9999,user_cust_1013@domain.com,+919876513668,192.168.1.13,21,1,Velocity Anomaly
TXN_100014,8500.0,INR,2026-07-03 04:10:53,Success,Payment,VISA,Credit,409359,1972,MID_6398,Merchant_14,5541,IN,CUST_9999,user_cust_1014@domain.com,+919876514397,192.168.1.14,10,1,Velocity Anomaly
TXN_100015,904.2,INR,2026-07-03 02:01:38,Success,Payment,RuPay,Prepaid,642056,6634,MID_7678,Merchant_15,7011,IN,CUST_1015,user_cust_1015@domain.com,+919876515709,192.168.1.15,33,0,Normal
TXN_100016,645.7,INR,2026-07-03 02:10:12,Success,Payment,RuPay,Credit,651831,8483,MID_6529,Merchant_16,5541,IN,CUST_1016,user_cust_1016@domain.com,+919876516236,192.168.1.16,15,0,Normal
TXN_100017,1772.27,INR,2026-07-03 02:19:28,Success,Payment,VISA,Credit,459191,3123,MID_7604,Merchant_17,4111,IN,CUST_1017,user_cust_1017@domain.com,+919876517475,192.168.1.17,20,0,Normal
TXN_100018,697.8,INR,2026-07-03 02:25:32,Success,Payment,Mastercard,Prepaid,543272,9790,MID_4918,Merchant_18,5311,IN,CUST_1018,user_cust_1018@domain.com,+919876518186,192.168.1.18,34,0,Normal
TXN_100019,482.75,INR,2026-07-03 02:32:32,Success,Payment,RuPay,Prepaid,614671,1224,MID_2067,Merchant_19,4111,IN,CUST_1019,user_cust_1019@domain.com,+919876519518,192.168.1.19,29,0,Normal
TXN_100020,4376.52,INR,2026-07-03 02:40:24,Success,Payment,VISA,Credit,427048,2814,MID_1026,Merchant_20,4111,IN,CUST_1020,user_cust_1020@domain.com,+919876520853,192.168.1.20,12,0,Normal
TXN_100021,1168.09,INR,2026-07-03 02:47:32,Success,Payment,RuPay,Prepaid,676274,2106,MID_7937,Merchant_21,5311,IN,CUST_1021,user_cust_1021@domain.com,+919876521298,192.168.1.21,15,0,Normal
TXN_100022,1463.78,INR,2026-07-03 02:55:51,Success,Payment,VISA,Debit,425963,1124,MID_8264,Merchant_22,5311,IN,CUST_1022,user_cust_1022@domain.com,+919876522562,192.168.1.22,11,0,Normal
TXN_100023,478.46,INR,2026-07-03 03:03:37,Success,Payment,Mastercard,Debit,553954,4246,MID_8118,Merchant_23,5311,IN,CUST_1023,user_cust_1023@domain.com,+919876523536,192.168.1.23,30,0,Normal
TXN_100024,916.53,INR,2026-07-03 03:09:07,Success,Payment,RuPay,Prepaid,672309,3931,MID_1547,Merchant_24,5311,IN,CUST_1024,user_cust_1024@domain.com,+919876524409,192.168.1.24,28,0,Normal
TXN_100025,1513.72,INR,2026-07-03 03:17:54,Success,Payment,VISA,Prepaid,495430,3971,MID_9758,Merchant_25,5311,IN,CUST_1025,user_cust_1025@domain.com,+919876525695,192.168.1.25,26,0,Normal
TXN_100026,583.36,INR,2026-07-03 03:26:12,Success,Payment,RuPay,Credit,600717,3017,MID_9895,Merchant_26,4111,IN,CUST_1026,user_cust_1026@domain.com,+919876526853,192.168.1.26,29,0,Normal
TXN_100027,1859.05,INR,2026-07-03 03:33:44,Success,Payment,RuPay,Prepaid,611676,8415,MID_6338,Merchant_27,5411,IN,CUST_1027,user_cust_1027@domain.com,+919876527380,192.168.1.27,23,0,Normal
TXN_100028,878.39,INR,2026-07-03 03:39:58,Success,Payment,RuPay,Credit,604434,3415,MID_4140,Merchant_28,5411,IN,CUST_1028,user_cust_1028@domain.com,+919876528422,192.168.1.28,30,0,Normal
TXN_100029,1110.66,INR,2026-07-03 03:46:52,Success,Payment,RuPay,Debit,649810,4096,MID_8996,Merchant_29,5812,IN,CUST_1029,user_cust_1029@domain.com,+919876529863,192.168.1.29,14,0,Normal
TXN_100030,877.69,INR,2026-07-03 03:56:34,Success,Payment,VISA,Prepaid,494636,2609,MID_2590,Merchant_30,5411,IN,CUST_1030,user_cust_1030@domain.com,+919876530801,192.168.1.30,13,0,Normal
TXN_100031,5944.78,INR,2026-07-03 04:03:37,Success,Payment,Mastercard,Credit,514994,1717,MID_8776,Merchant_31,7011,IN,CUST_1031,user_cust_1031@domain.com,+919876531251,192.168.1.31,8,0,Normal
TXN_100032,1375.05,INR,2026-07-03 04:09:03,Success,Payment,VISA,Credit,404234,4561,MID_5943,Merchant_32,5411,IN,CUST_1032,user_cust_1032@domain.com,+919876532401,192.168.1.32,27,0,Normal
TXN_100033,624.69,INR,2026-07-03 04:18:37,Success,Payment,VISA,Debit,469300,7782,MID_9997,Merchant_33,4111,IN,CUST_1033,user_cust_1033@domain.com,+919876533377,192.168.1.33,19,0,Normal
TXN_100034,2636.44,INR,2026-07-03 04:24:41,Success,Payment,VISA,Prepaid,443949,2048,MID_8798,Merchant_34,5311,IN,CUST_1034,user_cust_1034@domain.com,+919876534750,192.168.1.34,17,0,Normal
TXN_100035,554.38,INR,2026-07-03 04:34:38,Success,Payment,Mastercard,Debit,547405,9307,MID_4791,Merchant_35,5311,IN,CUST_1035,user_cust_1035@domain.com,+919876535787,192.168.1.35,29,0,Normal
TXN_100036,1633.02,INR,2026-07-03 04:40:46,Success,Payment,RuPay,Credit,634872,8905,MID_2357,Merchant_36,5621,IN,CUST_1036,user_cust_1036@domain.com,+919876536107,192.168.1.36,6,0,Normal
TXN_100037,329.29,INR,2026-07-03 04:46:44,Success,Payment,RuPay,Credit,642215,6578,MID_9092,Merchant_37,5621,IN,CUST_1037,user_cust_1037@domain.com,+919876537906,192.168.1.37,6,0,Normal
TXN_100038,512.87,INR,2026-07-03 04:54:12,Success,Payment,RuPay,Prepaid,623185,2620,MID_4225,Merchant_38,5621,IN,CUST_1038,user_cust_1038@domain.com,+919876538334,192.168.1.38,20,0,Normal
TXN_100039,1617.89,INR,2026-07-03 05:02:57,Success,Payment,Mastercard,Credit,553442,7548,MID_3460,Merchant_39,4111,IN,CUST_1039,user_cust_1039@domain.com,+919876539774,192.168.1.39,13,0,Normal
TXN_100040,2468.19,INR,2026-07-03 05:09:12,Success,Payment,RuPay,Prepaid,651759,8381,MID_9737,Merchant_40,7011,IN,CUST_1040,user_cust_1040@domain.com,+919876540660,192.168.1.40,32,0,Normal
TXN_100041,1586.24,INR,2026-07-03 05:18:51,Success,Payment,Mastercard,Debit,551153,5780,MID_3728,Merchant_41,5411,IN,CUST_1041,user_cust_1041@domain.com,+919876541401,192.168.1.41,17,0,Normal
TXN_100042,1271.07,INR,2026-07-03 05:24:25,Success,Payment,RuPay,Prepaid,677535,4792,MID_7726,Merchant_42,4111,IN,CUST_1042,user_cust_1042@domain.com,+919876542137,192.168.1.42,7,0,Normal
TXN_100043,1102.7,INR,2026-07-03 05:32:15,Success,Payment,RuPay,Prepaid,602581,3941,MID_8481,Merchant_43,5812,IN,CUST_1043,user_cust_1043@domain.com,+919876543235,192.168.1.43,13,0,Normal
TXN_100044,460.42,INR,2026-07-03 05:41:02,Success,Payment,VISA,Credit,451717,6695,MID_7430,Merchant_44,5311,IN,CUST_1044,user_cust_1044@domain.com,+919876544921,192.168.1.44,17,0,Normal
TXN_100045,803.04,INR,2026-07-03 05:48:57,Success,Payment,Mastercard,Credit,512763,7401,MID_4114,Merchant_45,5621,IN,CUST_1045,user_cust_1045@domain.com,+919876545520,192.168.1.45,25,0,Normal
TXN_100046,976.57,INR,2026-07-03 05:54:55,Success,Payment,VISA,Prepaid,492910,7197,MID_1616,Merchant_46,5541,IN,CUST_1046,user_cust_1046@domain.com,+919876546318,192.168.1.46,26,0,Normal
TXN_100047,3170.34,INR,2026-07-03 06:03:10,Success,Payment,VISA,Credit,455480,6450,MID_4644,Merchant_47,5812,IN,CUST_1047,user_cust_1047@domain.com,+919876547447,192.168.1.47,6,0,Normal
TXN_100048,1813.22,INR,2026-07-03 06:11:53,Success,Payment,VISA,Credit,438759,9975,MID_7413,Merchant_48,5621,IN,CUST_1048,user_cust_1048@domain.com,+919876548907,192.168.1.48,12,0,Normal
TXN_100049,376.87,INR,2026-07-03 06:18:46,Success,Payment,Mastercard,Credit,520531,9432,MID_2203,Merchant_49,7011,IN,CUST_1049,user_cust_1049@domain.com,+919876549645,192.168.1.49,31,0,Normal
TXN_100050,1785.88,INR,2026-07-03 06:25:59,Success,Payment,Mastercard,Prepaid,535307,6874,MID_3565,Merchant_50,5812,IN,CUST_1050,user_cust_1050@domain.com,+919876550963,192.168.1.50,13,0,Normal
TXN_100051,1034.3,INR,2026-07-03 06:32:23,Success,Payment,RuPay,Credit,696371,2553,MID_4174,Merchant_51,4111,IN,CUST_1051,user_cust_1051@domain.com,+919876551178,192.168.1.51,20,0,Normal
TXN_100052,829.35,INR,2026-07-03 06:42:03,Success,Payment,VISA,Prepaid,411064,2012,MID_4081,Merchant_52,5411,IN,CUST_1052,user_cust_1052@domain.com,+919876552847,192.168.1.52,6,0,Normal
TXN_100053,2234.93,INR,2026-07-03 06:47:02,Success,Payment,RuPay,Credit,676848,9378,MID_3630,Merchant_53,5311,IN,CUST_1053,user_cust_1053@domain.com,+919876553994,192.168.1.53,10,0,Normal
TXN_100054,3105.81,INR,2026-07-03 06:54:51,Success,Payment,VISA,Debit,437548,2881,MID_4161,Merchant_54,7011,IN,CUST_1054,user_cust_1054@domain.com,+919876554372,192.168.1.54,26,0,Normal
TXN_100055,2871.5,INR,2026-07-03 07:02:14,Success,Payment,Mastercard,Credit,546945,7799,MID_5321,Merchant_55,7011,IN,CUST_1055,user_cust_1055@domain.com,+919876555260,192.168.1.55,12,0,Normal
TXN_100056,734.46,INR,2026-07-03 07:10:22,Success,Payment,Mastercard,Credit,557937,5586,MID_9861,Merchant_56,5541,IN,CUST_1056,user_cust_1056@domain.com,+919876556786,192.168.1.56,30,0,Normal
TXN_100057,1095.9,INR,2026-07-03 07:19:48,Success,Payment,Mastercard,Prepaid,516476,9622,MID_7269,Merchant_57,5812,IN,CUST_1057,user_cust_1057@domain.com,+919876557977,192.168.1.57,32,0,Normal
TXN_100058,1795.87,INR,2026-07-03 07:26:26,Success,Payment,VISA,Prepaid,451756,9430,MID_8099,Merchant_58,5541,IN,CUST_1058,user_cust_1058@domain.com,+919876558407,192.168.1.58,9,0,Normal
TXN_100059,2973.21,INR,2026-07-03 07:34:00,Success,Payment,Mastercard,Credit,534565,7447,MID_8376,Merchant_59,5411,IN,CUST_1059,user_cust_1059@domain.com,+919876559473,192.168.1.59,13,0,Normal
TXN_100060,962.93,INR,2026-07-03 07:39:37,Success,Payment,VISA,Debit,402382,3345,MID_5078,Merchant_60,5621,IN,CUST_1060,user_cust_1060@domain.com,+919876560832,192.168.1.60,5,0,Normal
TXN_100061,1204.56,INR,2026-07-03 07:48:06,Success,Payment,RuPay,Credit,649683,1075,MID_6801,Merchant_61,5411,IN,CUST_1061,user_cust_1061@domain.com,+919876561108,192.168.1.61,13,0,Normal
TXN_100062,602.76,INR,2026-07-03 07:54:56,Success,Payment,VISA,Credit,487999,6877,MID_5151,Merchant_62,5621,IN,CUST_1062,user_cust_1062@domain.com,+919876562900,192.168.1.62,14,0,Normal
TXN_100063,564.42,INR,2026-07-03 08:03:15,Success,Payment,RuPay,Debit,645276,7785,MID_9911,Merchant_63,5541,IN,CUST_1063,user_cust_1063@domain.com,+919876563543,192.168.1.63,27,0,Normal
TXN_100064,2615.79,INR,2026-07-03 08:09:59,Success,Payment,VISA,Prepaid,433402,5922,MID_3600,Merchant_64,5311,IN,CUST_1064,user_cust_1064@domain.com,+919876564212,192.168.1.64,8,0,Normal
TXN_100065,4013.93,INR,2026-07-03 08:18:41,Success,Payment,RuPay,Credit,691881,9090,MID_7175,Merchant_65,5411,IN,CUST_1065,user_cust_1065@domain.com,+919876565304,192.168.1.65,7,0,Normal
TXN_100066,1314.45,INR,2026-07-03 08:26:36,Success,Payment,Mastercard,Prepaid,554764,3330,MID_1666,Merchant_66,5541,IN,CUST_1066,user_cust_1066@domain.com,+919876566504,192.168.1.66,34,0,Normal
TXN_100067,3039.4,INR,2026-07-03 08:32:05,Success,Payment,RuPay,Prepaid,626946,5686,MID_1283,Merchant_67,5812,IN,CUST_1067,user_cust_1067@domain.com,+919876567797,192.168.1.67,14,0,Normal
TXN_100068,1838.82,INR,2026-07-03 08:42:09,Success,Payment,Mastercard,Debit,524162,2902,MID_6840,Merchant_68,5541,IN,CUST_1068,user_cust_1068@domain.com,+919876568952,192.168.1.68,19,0,Normal
TXN_100069,849.43,INR,2026-07-03 08:48:03,Success,Payment,Mastercard,Debit,559154,5670,MID_4565,Merchant_69,5541,IN,CUST_1069,user_cust_1069@domain.com,+919876569296,192.168.1.69,15,0,Normal
TXN_100070,1838.47,INR,2026-07-03 08:57:02,Success,Payment,RuPay,Prepaid,673933,8143,MID_5593,Merchant_70,4111,IN,CUST_1070,user_cust_1070@domain.com,+919876570877,192.168.1.70,18,0,Normal
TXN_100071,4634.47,INR,2026-07-03 09:04:41,Success,Payment,VISA,Credit,422335,3059,MID_2465,Merchant_71,5411,IN,CUST_1071,user_cust_1071@domain.com,+919876571873,192.168.1.71,10,0,Normal
